,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
31,J.Goff,00-0033106,4564.0,11.61323155216285,616.0,34.0,223.0,393.0,8.0,0.637987012987013,0.17282492084357587,2411.0,6.134860050890585,0.3252165735158409,-0.010742416725863034,0.0004661972309788272,0.006323509467398003,0,38.0,3.0,3,0.05519480519480519,0.012987012987012988,J.Goff,0.0,45.0,2.3684210526315788,301.06
32,J.Herbert,00-0036355,3727.0,10.961764705882352,566.0,26.0,175.0,340.0,13.0,0.6007067137809188,0.007961748799530571,1657.0,4.873529411764705,0.45169658980614724,-0.27799894669009556,0.00475716551692749,-0.0007708344236964251,0,54.0,3.0,1,0.045936395759717315,0.022968197879858657,J.Herbert,2.0,498.0,6.0,286.88
33,J.Hurts,00-0036389,3224.0,10.965986394557824,488.0,25.0,150.0,294.0,6.0,0.6024590163934426,0.05197356921302557,1265.0,4.302721088435374,0.5118815341946382,-0.33802428167165866,4.668673053170661e-05,0.0026281720344510143,0,32.0,4.0,2,0.05122950819672131,0.012295081967213115,J.Hurts,8.0,421.0,4.0095238095238095,303.06
34,J.Johnson,00-0026300,372.0,10.941176470588236,56.0,1.0,21.0,34.0,2.0,0.6071428571428571,0.06819660513498928,213.0,6.264705882352941,0.40048277595017784,-0.2538295340359448,0.0027759366519798444,0.0030312559034568077,0,2.0,0.0,0,0.017857142857142856,0.03571428571428571,J.Johnson,1.0,55.0,4.583333333333333,26.380000000000003
35,J.Love,00-0036264,3381.0,11.618556701030927,462.0,23.0,159.0,291.0,6.0,0.6298701298701299,0.23941837193269103,1511.0,5.1924398625429555,0.5951111271942076,-0.265382745882693,0.006365754435814619,0.005546527821455394,2,21.0,2.0,2,0.049783549783549784,0.012987012987012988,J.Love,0.0,199.0,4.23404255319149,235.14000000000001
36,J.McCarthy,00-0039923,1632.0,11.657142857142857,273.0,11.0,80.0,140.0,12.0,0.5128205128205128,-0.19819016404151543,692.0,4.942857142857143,0.5471323672110749,-0.5627216622707171,0.0021370276862974226,0.0005194222397063868,1,27.0,2.0,2,0.040293040293040296,0.04395604395604396,J.McCarthy,4.0,181.0,4.891891891891892,125.38
37,J.Milton,00-0039398,183.0,12.2,24.0,1.0,9.0,15.0,2.0,0.625,0.02654301500929031,78.0,5.2,0.8787582453296632,-0.852215230320373,-0.0007731007854090483,-0.0021113824511000126,0,0.0,0.0,0,0.041666666666666664,0.08333333333333333,J.Milton,0.0,50.0,10.0,12.32
38,J.Winston,00-0031503,567.0,15.324324324324325,69.0,2.0,25.0,37.0,2.0,0.5362318840579711,0.22306813026424083,210.0,5.675675675675675,0.9006567973917827,-0.5839732374151232,-0.023716672693479362,0.0355716864992935,0,3.0,1.0,1,0.028985507246376812,0.028985507246376812,J.Winston,1.0,23.0,3.2857142857142856,32.980000000000004
39,K.Cousins,00-0029604,1721.0,10.367469879518072,284.0,10.0,86.0,166.0,5.0,0.5845070422535211,-0.01934540564942198,983.0,5.921686746987952,0.40354345885818355,-0.3346427111941765,0.008010993714237897,-0.0037382750033727184,0,13.0,1.0,0,0.035211267605633804,0.017605633802816902,K.Cousins,1.0,7.0,0.5,105.54
40,K.Murray,00-0035228,962.0,8.745454545454546,177.0,6.0,50.0,110.0,3.0,0.6214689265536724,0.032319723874228115,545.0,4.954545454545454,0.18413253123007234,-0.01056100585425767,0.0010319443600234758,0.003952258139855034,0,16.0,1.0,1,0.03389830508474576,0.01694915254237288,K.Murray,1.0,173.0,5.9655172413793105,77.78
